Date,Flight_No,Origin,Destination,Aircraft_Type,Capacity_KG,Booked_KG,Loaded_KG,Offloaded_KG,Revenue_INR,Delay_Minutes
2025-06-10,AI285,BOM,BLR,A321,20000,18471,17768,703,995538,40
2025-11-27,AI286,BOM,BLR,A321,20000,13042,12789,253,694978,86
2025-10-17,AI287,DEL,BOM,B787,35000,23658,22276,1382,1178933,45
2025-01-26,AI288,DEL,BOM,A321,20000,13834,12889,945,654374,6
2025-10-18,AI289,DEL,HYD,A320,18000,14190,13321,869,645190,9
2025-06-11,AI290,DEL,HYD,A321,20000,17632,17372,260,960920,22
2025-05-07,AI291,DEL,HYD,A320,18000,17284,17034,250,786927,9
2025-09-10,AI292,DEL,BOM,B787,35000,25630,24044,1586,1126713,78
2025-06-26,AI293,DEL,HYD,B787,35000,28668,27148,1520,1751598,11
2025-01-20,AI294,BOM,BLR,A320,18000,17178,16508,670,901853,79
2025-01-07,AI295,CCU,DEL,A320,18000,15601,15218,383,818081,27
2025-04-26,AI296,CCU,BLR,A321,20000,18617,18094,523,1036434,53
2025-04-15,AI297,DEL,BOM,A320,18000,14858,14083,775,659078,15
2025-08-22,AI298,BOM,BLR,A320,18000,12979,12289,690,626322,8
2025-06-04,AI299,CCU,DEL,A321,20000,14566,13838,728,675380,48
2025-06-04,AI200,DEL,BOM,A320,18000,12246,11833,413,641004,42
2025-06-26,AI201,DEL,BOM,B787,35000,32461,30946,1515,1896080,53
2025-01-22,AI202,CCU,DEL,A321,20000,17306,16412,894,862940,80
2025-02-28,AI203,DEL,HYD,A320,18000,17296,16483,813,909306,12
2025-09-03,AI204,DEL,HYD,A320,18000,16731,15715,1016,1010362,78
2025-07-09,AI205,BOM,BLR,A320,18000,12164,11233,931,587986,48
2025-11-02,AI206,DEL,HYD,A321,20000,15642,15241,401,928953,5
2025-01-25,AI207,CCU,BLR,A321,20000,18731,17503,1228,1063777,58
2025-08-13,AI208,BOM,BLR,A320,18000,16029,15565,464,760168,12
2025-07-09,AI209,DEL,BOM,B787,35000,25176,24103,1073,1526451,59
2025-03-10,AI210,DEL,HYD,A321,20000,15131,14179,952,822505,70
2025-05-04,AI211,CCU,BLR,A321,20000,13442,12803,639,801874,30
2025-02-09,AI212,DEL,BOM,A321,20000,16240,15207,1033,938898,80
2025-06-21,AI213,BOM,BLR,A321,20000,16091,15710,381,722029,7
2025-07-21,AI214,DEL,BOM,A321,20000,17705,17392,313,838842,86
2025-01-23,AI215,DEL,HYD,A320,18000,14246,13867,379,808954,19
2025-09-27,AI216,BOM,BLR,A321,20000,19157,17704,1453,833990,15
2025-06-17,AI217,CCU,DEL,A320,18000,15262,14428,834,899989,33
2025-11-14,AI218,DEL,BOM,A321,20000,16635,15439,1196,842788,10
2025-10-14,AI219,DEL,HYD,B787,35000,29119,27340,1779,1275287,17
2025-08-17,AI220,CCU,DEL,A320,18000,12655,12042,613,716819,3
2025-10-27,AI221,CCU,BLR,A321,20000,14327,13527,800,773320,64
2025-05-07,AI222,CCU,BLR,A320,18000,16379,15759,620,912348,86
2025-03-05,AI223,BOM,BLR,A321,20000,15755,14605,1150,850693,64
2025-12-20,AI224,CCU,BLR,B787,35000,22784,22396,388,1256370,84
2025-03-12,AI225,BOM,BLR,A320,18000,16870,16505,365,991746,10
2025-04-01,AI226,CCU,BLR,B787,35000,23155,21555,1600,1400235,50
2025-09-19,AI227,DEL,BOM,A321,20000,13667,13066,601,845666,14
2025-07-25,AI228,CCU,BLR,A321,20000,18562,17108,1454,843461,30
2025-03-22,AI229,BOM,BLR,B787,35000,25351,23602,1749,1383384,73
2025-05-02,AI230,CCU,DEL,A321,20000,17173,16396,777,791815,47
2025-10-05,AI231,CCU,DEL,A320,18000,12991,12198,793,713329,20
2025-02-13,AI232,BOM,BLR,A320,18000,12991,12626,365,634150,50
2025-05-09,AI233,DEL,HYD,A321,20000,17864,16772,1092,995772,87
2025-04-14,AI234,DEL,BOM,B787,35000,33098,30950,2148,1503728,62
2025-07-03,AI235,DEL,BOM,A320,18000,14078,13233,845,783333,36
2025-12-12,AI236,CCU,BLR,A321,20000,18279,17902,377,1137941,82
2025-05-15,AI237,DEL,HYD,A321,20000,16241,15278,963,903297,46
2025-04-11,AI238,CCU,BLR,A320,18000,17015,16473,542,917969,62
2025-09-03,AI239,DEL,HYD,A320,18000,14325,13722,603,687597,1
2025-12-03,AI240,BOM,BLR,A321,20000,18329,17616,713,958471,26
2025-06-05,AI241,BOM,BLR,A321,20000,19444,18365,1079,1017591,82
2025-12-10,AI242,BOM,BLR,A320,18000,12955,12706,249,707420,86
2025-08-22,AI243,DEL,HYD,A320,18000,12992,12739,253,597080,35
2025-04-07,AI244,DEL,BOM,A320,18000,12462,11689,773,657251,41
2025-06-04,AI245,DEL,BOM,A321,20000,18870,17561,1309,894468,11
2025-07-14,AI246,BOM,BLR,A320,18000,13740,12940,800,732589,24
2025-05-27,AI247,CCU,BLR,B787,35000,25491,23499,1992,1411086,33
2025-03-11,AI248,CCU,DEL,A321,20000,13976,13613,363,834498,24
2025-03-22,AI249,DEL,HYD,A321,20000,14274,13422,852,704558,42
2025-07-20,AI250,DEL,HYD,A321,20000,14628,14405,223,860777,10
2025-10-23,AI251,CCU,BLR,A320,18000,15746,15035,711,936006,87
2025-04-26,AI252,CCU,DEL,A321,20000,17737,17545,192,897836,36
2025-04-15,AI253,DEL,BOM,B787,35000,24929,23859,1070,1448363,8
2025-05-28,AI254,BOM,BLR,A321,20000,18092,17764,328,962714,10
2025-12-01,AI255,CCU,BLR,B787,35000,33056,30956,2100,1761978,47
2025-12-23,AI256,DEL,HYD,A321,20000,15613,15000,613,797828,87
2025-05-27,AI257,DEL,HYD,A321,20000,17310,16091,1219,794218,76
2025-05-10,AI258,CCU,DEL,A321,20000,13930,13705,225,705875,61
2025-07-15,AI259,CCU,BLR,B787,35000,32947,32235,712,1544729,48
2025-07-14,AI260,BOM,BLR,A320,18000,14944,14061,883,862025,54
2025-04-15,AI261,DEL,HYD,A321,20000,16066,14823,1243,780882,46
2025-04-18,AI262,CCU,DEL,A320,18000,13178,12271,907,600762,19
2025-07-16,AI263,DEL,BOM,B787,35000,31881,30821,1060,1565074,72
2025-02-25,AI264,BOM,BLR,A320,18000,16888,15829,1059,715598,12
2025-06-13,AI265,BOM,BLR,A321,20000,16606,15356,1250,995306,75
2025-04-27,AI266,CCU,DEL,B787,35000,22892,22175,717,1074056,75
2025-02-11,AI267,DEL,BOM,A321,20000,15787,14584,1203,892166,10
2025-06-02,AI268,DEL,BOM,A320,18000,12782,12266,516,743814,28
2025-12-19,AI269,BOM,BLR,A320,18000,13025,12133,892,652038,72
2025-06-06,AI270,CCU,DEL,A321,20000,15022,14092,930,694714,14
2025-09-07,AI271,CCU,DEL,B787,35000,23646,22043,1603,1352852,8
2025-06-19,AI272,DEL,HYD,A321,20000,18715,17405,1310,836652,14
2025-09-08,AI273,CCU,DEL,B787,35000,23101,22225,876,1075181,29
2025-02-05,AI274,DEL,BOM,A321,20000,17504,16346,1158,841332,28
2025-04-13,AI275,DEL,HYD,A321,20000,18714,18336,378,970703,4
2025-12-09,AI276,CCU,BLR,A321,20000,14974,14078,896,666329,7
2025-06-28,AI277,DEL,HYD,A321,20000,18174,17634,540,963659,60
2025-09-28,AI278,BOM,BLR,A320,18000,16115,15269,846,756764,9
2025-04-05,AI279,DEL,BOM,A321,20000,18477,17032,1445,1044138,24
2025-09-28,AI280,CCU,DEL,A321,20000,15176,14033,1143,678996,70
2025-12-15,AI281,CCU,BLR,A321,20000,18163,17872,291,1098337,67
2025-11-17,AI282,DEL,BOM,A321,20000,13246,13044,202,754337,29
2025-01-23,AI283,CCU,DEL,A321,20000,19036,18450,586,1114564,73
2025-06-28,AI284,CCU,DEL,A321,20000,15881,15435,446,986571,17
2025-08-20,AI285,BOM,BLR,B787,35000,26237,25556,681,1563868,46
2025-05-05,AI286,CCU,BLR,B787,35000,24948,23301,1647,1312095,44
2025-12-26,AI287,CCU,BLR,A321,20000,15293,14606,687,733092,85
2025-01-01,AI288,CCU,BLR,A320,18000,15491,14489,1002,916171,24
2025-07-21,AI289,BOM,BLR,A321,20000,16091,15112,979,796680,1
2025-10-12,AI290,CCU,BLR,A320,18000,17330,16112,1218,881950,37
2025-01-13,AI291,BOM,BLR,A320,18000,12284,11530,754,709646,22
2025-03-26,AI292,DEL,HYD,A320,18000,13338,13196,142,791801,36
2025-02-07,AI293,DEL,BOM,A321,20000,14381,13917,464,669753,73
2025-09-27,AI294,DEL,HYD,A321,20000,16915,15719,1196,1015918,68
2025-07-05,AI295,DEL,HYD,A321,20000,18654,18043,611,1104925,26
2025-04-06,AI296,DEL,HYD,A321,20000,14113,13755,358,893723,4
2025-03-22,AI297,CCU,BLR,A321,20000,14590,13477,1113,691772,79
2025-06-25,AI298,CCU,BLR,A320,18000,17615,17187,428,859497,34
2025-09-24,AI299,DEL,HYD,A320,18000,16315,15534,781,728740,80
2025-08-13,AI200,CCU,DEL,A320,18000,14417,13318,1099,779895,87
2025-04-03,AI201,DEL,BOM,A321,20000,16780,15671,1109,770116,44
2025-05-15,AI202,CCU,DEL,A321,20000,18332,17897,435,999277,61
2025-05-06,AI203,DEL,BOM,A320,18000,13876,13324,552,779250,47
2025-04-02,AI204,CCU,DEL,A321,20000,17580,16508,1072,856847,49
2025-01-22,AI205,CCU,BLR,A320,18000,12091,11931,160,596782,40
2025-11-26,AI206,CCU,BLR,B787,35000,31237,30523,714,1555621,77
2025-05-07,AI207,DEL,HYD,A320,18000,14120,13106,1014,826748,42
2025-03-03,AI208,CCU,BLR,A321,20000,16552,15714,838,831595,67
2025-08-01,AI209,DEL,BOM,A320,18000,14489,13491,998,795627,22
2025-08-18,AI210,DEL,BOM,A320,18000,16464,16028,436,922559,70
2025-12-19,AI211,BOM,BLR,A320,18000,15819,14811,1008,923008,84
2025-05-05,AI212,BOM,BLR,B787,35000,25403,24388,1015,1302323,35
2025-10-26,AI213,DEL,HYD,A320,18000,12460,12120,340,740310,39
2025-10-12,AI214,BOM,BLR,A321,20000,16618,16350,268,839731,0
2025-03-05,AI215,DEL,BOM,B787,35000,30885,30258,627,1597820,47
2025-12-22,AI216,DEL,HYD,A320,18000,17153,16663,490,1079914,55
2025-07-03,AI217,CCU,BLR,A320,18000,15026,14681,345,874346,9
2025-07-01,AI218,DEL,BOM,A320,18000,13425,12577,848,712139,5
2025-06-13,AI219,DEL,HYD,A320,18000,15051,14766,285,811015,40
2025-01-21,AI220,DEL,BOM,A321,20000,19271,17968,1303,928933,18
2025-03-28,AI221,BOM,BLR,A320,18000,12846,12236,610,671048,74
2025-07-17,AI222,CCU,DEL,A320,18000,15207,14669,538,739140,80
2025-07-15,AI223,CCU,DEL,A320,18000,13864,12833,1031,660753,17
2025-05-21,AI224,BOM,BLR,A321,20000,16290,15588,702,914935,72
2025-06-22,AI225,BOM,BLR,A320,18000,16782,16103,679,749464,48
2025-08-06,AI226,CCU,BLR,A320,18000,16817,15662,1155,843551,12
2025-04-28,AI227,CCU,BLR,A320,18000,17212,16634,578,858229,61
2025-08-08,AI228,CCU,DEL,A320,18000,11939,11614,325,700207,60
2025-12-05,AI229,DEL,HYD,B787,35000,33627,33241,386,1959846,6
2025-08-25,AI230,CCU,BLR,A321,20000,19538,18309,1229,871238,61
2025-09-17,AI231,CCU,BLR,A321,20000,15314,14310,1004,819220,59
2025-04-28,AI232,CCU,BLR,A320,18000,14182,13927,255,895388,9
2025-09-13,AI233,BOM,BLR,A320,18000,15056,14492,564,928617,71
2025-03-15,AI234,CCU,DEL,A320,18000,15312,14404,908,700328,55
2025-04-26,AI235,DEL,BOM,A321,20000,16913,16390,523,917959,8
2025-10-28,AI236,BOM,BLR,A320,18000,16300,15262,1038,859641,47
2025-06-19,AI237,BOM,BLR,A320,18000,14342,13497,845,761389,59
2025-03-25,AI238,DEL,HYD,A321,20000,14764,14481,283,931087,11
2025-04-04,AI239,DEL,HYD,A321,20000,18363,17249,1114,1001265,84
2025-01-24,AI240,CCU,BLR,B787,35000,31474,29633,1841,1420638,30
2025-10-13,AI241,BOM,BLR,A320,18000,16470,15719,751,752038,59
2025-12-11,AI242,DEL,BOM,A321,20000,17765,17255,510,1062198,73
2025-10-26,AI243,BOM,BLR,A321,20000,13736,13585,151,776043,3
2025-12-26,AI244,CCU,BLR,B787,35000,23420,21927,1493,1298718,25
2025-10-15,AI245,CCU,DEL,A320,18000,15323,14397,926,716457,71
2025-04-11,AI246,CCU,DEL,A321,20000,13810,12906,904,723033,67
2025-06-22,AI247,DEL,BOM,A320,18000,12107,11953,154,739718,34
2025-10-13,AI248,DEL,HYD,A321,20000,18429,16963,1466,775911,30
2025-09-18,AI249,DEL,HYD,B787,35000,25106,23297,1809,1068398,4
2025-09-16,AI250,BOM,BLR,B787,35000,32086,31075,1011,1735516,60
2025-06-21,AI251,DEL,BOM,A321,20000,16480,15924,556,960260,73
2025-01-16,AI252,DEL,HYD,A321,20000,13630,13406,224,658143,36
2025-09-10,AI253,BOM,BLR,A321,20000,17363,16524,839,832989,73
2025-10-10,AI254,BOM,BLR,A321,20000,17040,15926,1114,888377,32
2025-11-04,AI255,CCU,DEL,B787,35000,32629,30224,2405,1393989,52
2025-11-28,AI256,CCU,BLR,A321,20000,17466,16888,578,903138,57
2025-09-16,AI257,DEL,BOM,B787,35000,27815,25960,1855,1180917,70
2025-12-17,AI258,CCU,DEL,A321,20000,16573,15976,597,963922,0
2025-08-18,AI259,CCU,DEL,A320,18000,14726,13992,734,732817,80
2025-10-13,AI260,CCU,BLR,A320,18000,16943,16202,741,821699,42
2025-07-06,AI261,DEL,HYD,A320,18000,12560,11909,651,597260,16
2025-01-04,AI262,BOM,BLR,B787,35000,30170,28737,1433,1464653,3
2025-11-08,AI263,CCU,BLR,A321,20000,17625,16585,1040,752155,30
2025-01-15,AI264,BOM,BLR,A321,20000,19086,18873,213,1121601,26
2025-01-25,AI265,BOM,BLR,A321,20000,16955,15793,1162,928463,12
2025-07-13,AI266,DEL,BOM,A320,18000,14381,14132,249,718180,42
2025-05-23,AI267,DEL,BOM,B787,35000,26996,25595,1401,1340501,68
2025-11-11,AI268,BOM,BLR,B787,35000,25723,23747,1976,1372766,51
2025-07-16,AI269,CCU,DEL,A321,20000,15263,14595,668,752531,13
2025-11-16,AI270,CCU,BLR,B787,35000,32970,32396,574,1892516,17
2025-08-09,AI271,BOM,BLR,A321,20000,19219,17833,1386,1111592,71
2025-07-04,AI272,DEL,HYD,A320,18000,15896,15105,791,977106,9
2025-01-12,AI273,DEL,BOM,A320,18000,14199,13201,998,810819,22
2025-10-16,AI274,CCU,BLR,A320,18000,17211,16507,704,879330,20
2025-08-04,AI275,CCU,BLR,B787,35000,34042,32376,1666,1925569,81
2025-02-04,AI276,CCU,BLR,B787,35000,25136,24100,1036,1527324,33
2025-02-08,AI277,DEL,BOM,B787,35000,23171,21645,1526,1199665,32
2025-12-14,AI278,CCU,BLR,B787,35000,31794,29687,2107,1647306,80
2025-06-19,AI279,CCU,DEL,A320,18000,16135,15824,311,944819,31
2025-03-16,AI280,BOM,BLR,A320,18000,13882,13110,772,734097,89
2025-11-14,AI281,DEL,BOM,A321,20000,14369,13401,968,762812,59
2025-12-02,AI282,CCU,BLR,A320,18000,14064,13543,521,676712,42
2025-07-14,AI283,BOM,BLR,A321,20000,15085,14929,156,744985,82
2025-12-20,AI284,DEL,HYD,A320,18000,16720,15679,1041,751010,15
2025-09-17,AI285,CCU,DEL,A321,20000,14185,13357,828,806568,38
2025-08-07,AI286,DEL,BOM,A321,20000,13141,12374,767,692314,29
2025-02-18,AI287,DEL,BOM,A321,20000,14942,13920,1022,681193,3
2025-01-06,AI288,CCU,BLR,A321,20000,18345,17649,696,897477,13
2025-06-15,AI289,DEL,BOM,B787,35000,29960,29289,671,1673551,58
2025-03-25,AI290,CCU,DEL,B787,35000,29874,28334,1540,1334443,52
2025-06-17,AI291,CCU,DEL,A320,18000,13414,12542,872,612722,3
2025-08-27,AI292,CCU,BLR,A321,20000,16833,15597,1236,1009690,49
2025-11-18,AI293,CCU,BLR,A320,18000,14482,13911,571,898828,80
2025-01-25,AI294,BOM,BLR,A321,20000,18518,17799,719,972282,65
2025-04-20,AI295,BOM,BLR,A321,20000,19022,18446,576,1136293,78
2025-07-26,AI296,BOM,BLR,A320,18000,11767,10948,819,677714,2
2025-09-22,AI297,CCU,DEL,A320,18000,15195,15021,174,864285,56
2025-03-18,AI298,DEL,HYD,A320,18000,13475,12764,711,721613,26
2025-05-11,AI299,CCU,DEL,A320,18000,17595,17108,487,955790,50
2025-08-28,AI200,CCU,BLR,B787,35000,23637,21931,1706,1238084,27
2025-01-04,AI201,CCU,DEL,A321,20000,19184,17700,1484,1063782,4
2025-03-14,AI202,CCU,DEL,A321,20000,18559,17682,877,1064071,0
2025-06-13,AI203,CCU,BLR,A321,20000,18875,17606,1269,824971,31
2025-01-02,AI204,DEL,HYD,A320,18000,15051,14443,608,682632,54
2025-07-24,AI205,DEL,HYD,A320,18000,15175,14501,674,836803,75
2025-04-24,AI206,DEL,HYD,A321,20000,16765,16123,642,962997,39
2025-09-15,AI207,BOM,BLR,A320,18000,16515,15559,956,755339,11
2025-05-05,AI208,CCU,BLR,A320,18000,13846,12947,899,821921,17
2025-09-22,AI209,DEL,BOM,B787,35000,25234,23581,1653,1248965,48
2025-05-14,AI210,CCU,BLR,A320,18000,14843,14425,418,779683,64
2025-06-20,AI211,DEL,HYD,A321,20000,15738,14873,865,831037,23
2025-06-11,AI212,CCU,BLR,A320,18000,13401,12436,965,620721,52
2025-03-04,AI213,BOM,BLR,A320,18000,12788,12379,409,600532,61
2025-03-18,AI214,DEL,BOM,A320,18000,12120,11360,760,682250,79
2025-01-07,AI215,CCU,DEL,A320,18000,12341,11426,915,717931,38
2025-09-12,AI216,DEL,HYD,A321,20000,17209,15845,1364,744596,73
2025-09-26,AI217,DEL,BOM,A320,18000,12562,12182,380,636347,9
2025-04-01,AI218,BOM,BLR,B787,35000,28995,27188,1807,1459907,42
2025-06-24,AI219,CCU,BLR,A321,20000,18953,18548,405,1039394,57
2025-02-11,AI220,DEL,BOM,A320,18000,13704,13438,266,810194,17
2025-10-27,AI221,CCU,DEL,A320,18000,11877,11631,246,630165,80
2025-01-09,AI222,CCU,BLR,A321,20000,15335,14816,519,848452,67
2025-02-18,AI223,DEL,BOM,A320,18000,11819,11504,315,614927,87
2025-01-23,AI224,DEL,HYD,A320,18000,16515,15697,818,1011254,48
2025-01-17,AI225,CCU,BLR,A321,20000,15871,15694,177,927878,27
2025-06-18,AI226,DEL,HYD,A320,18000,11802,11448,354,726259,52
2025-09-02,AI227,CCU,DEL,A321,20000,14272,13744,528,696706,69
2025-05-28,AI228,BOM,BLR,A320,18000,15494,15222,272,722861,50
2025-05-25,AI229,BOM,BLR,A321,20000,13010,12115,895,695029,80
2025-12-18,AI230,BOM,BLR,B787,35000,33992,33313,679,2103394,36
2025-01-23,AI231,DEL,BOM,A321,20000,13927,13312,615,600454,53
2025-07-06,AI232,CCU,DEL,A320,18000,13799,12957,842,801369,51
2025-02-17,AI233,DEL,HYD,A321,20000,13371,12940,431,634494,8
2025-10-27,AI234,CCU,BLR,A320,18000,12447,12205,242,716317,37
2025-11-21,AI235,BOM,BLR,A320,18000,16719,15820,899,808119,15
2025-09-13,AI236,DEL,BOM,A321,20000,19416,18304,1112,1020706,38
2025-09-07,AI237,DEL,BOM,A321,20000,13848,12759,1089,609276,2
2025-06-05,AI238,CCU,BLR,A321,20000,16850,16587,263,826329,16
2025-02-11,AI239,BOM,BLR,B787,35000,28295,27179,1116,1559827,34
2025-06-11,AI240,DEL,HYD,B787,35000,33464,33046,418,2109968,60
2025-08-13,AI241,CCU,DEL,A320,18000,13385,12733,652,717779,86
2025-11-01,AI242,DEL,HYD,B787,35000,25231,23509,1722,1379603,56
2025-04-25,AI243,BOM,BLR,A320,18000,14606,13470,1136,754220,24
2025-06-03,AI244,BOM,BLR,A321,20000,15575,15115,460,914842,73
2025-02-06,AI245,CCU,DEL,A321,20000,14366,13771,595,781465,39
2025-06-11,AI246,CCU,DEL,A321,20000,18823,17685,1138,862360,74
2025-10-11,AI247,BOM,BLR,A321,20000,16020,15465,555,828912,78
2025-02-15,AI248,CCU,DEL,A321,20000,18518,17485,1033,854980,82
2025-09-15,AI249,CCU,BLR,A321,20000,18084,16730,1354,857931,47
2025-04-18,AI250,DEL,BOM,A321,20000,13628,12866,762,662190,35
2025-09-26,AI251,CCU,DEL,A321,20000,17819,17639,180,1023206,12
2025-06-28,AI252,DEL,BOM,A320,18000,16095,15266,829,752834,4
2025-03-18,AI253,BOM,BLR,A321,20000,15700,15399,301,834659,84
2025-12-20,AI254,DEL,HYD,B787,35000,29338,28653,685,1426809,13
2025-07-28,AI255,DEL,HYD,A320,18000,15527,15280,247,927108,73
2025-04-13,AI256,CCU,DEL,A320,18000,14346,14012,334,754747,87
2025-08-21,AI257,CCU,DEL,B787,35000,33482,30997,2485,1609380,19
2025-07-24,AI258,CCU,DEL,B787,35000,31561,29204,2357,1331660,83
2025-04-09,AI259,DEL,BOM,A321,20000,15975,15078,897,916696,73
2025-12-11,AI260,DEL,BOM,B787,35000,31308,29343,1965,1376850,80
2025-01-26,AI261,BOM,BLR,A320,18000,12026,11576,450,632981,54
2025-08-18,AI262,CCU,DEL,A320,18000,13913,12899,1014,710424,44
2025-07-07,AI263,DEL,HYD,A321,20000,18520,17276,1244,1060659,37
2025-02-20,AI264,BOM,BLR,A321,20000,13349,12790,559,775408,7
2025-04-08,AI265,DEL,BOM,A320,18000,17201,16540,661,1050190,14
2025-06-12,AI266,BOM,BLR,A321,20000,16441,15207,1234,893187,12
2025-08-24,AI267,DEL,HYD,A320,18000,15674,15222,452,970714,58
2025-06-26,AI268,BOM,BLR,A321,20000,16635,15976,659,1010979,86
2025-12-18,AI269,BOM,BLR,A320,18000,17386,16928,458,887962,28
2025-01-16,AI270,BOM,BLR,A320,18000,15324,14578,746,814453,50
2025-11-18,AI271,CCU,DEL,B787,35000,24870,24217,653,1197136,38
2025-01-13,AI272,DEL,BOM,A321,20000,15945,15223,722,923531,0
2025-09-18,AI273,CCU,DEL,A320,18000,13786,13147,639,717424,38
2025-11-27,AI274,DEL,HYD,A320,18000,11944,11793,151,562785,81
2025-05-28,AI275,CCU,BLR,B787,35000,32124,30068,2056,1824149,56
2025-04-24,AI276,CCU,DEL,A321,20000,14071,13344,727,780245,48
2025-03-17,AI277,DEL,BOM,A320,18000,13111,12596,515,686489,47
2025-04-21,AI278,CCU,BLR,A321,20000,16852,15711,1141,952734,77
2025-11-16,AI279,BOM,BLR,A321,20000,15405,14386,1019,913597,16
2025-11-22,AI280,CCU,BLR,A320,18000,13391,12945,446,832841,2
2025-07-01,AI281,CCU,BLR,A320,18000,14397,13954,443,667304,22
2025-05-17,AI282,CCU,DEL,A320,18000,15050,14819,231,710302,5
2025-02-18,AI283,CCU,BLR,A321,20000,19354,18324,1030,1053627,59
2025-05-15,AI284,BOM,BLR,A321,20000,17479,16977,502,1018507,11
2025-09-03,AI285,CCU,DEL,A320,18000,14682,14205,477,826135,82
2025-06-28,AI286,BOM,BLR,A320,18000,13890,13548,342,790541,15
2025-04-19,AI287,CCU,BLR,A320,18000,11725,11577,148,579507,24
2025-07-22,AI288,CCU,DEL,A321,20000,15570,14832,738,839163,51
2025-08-24,AI289,CCU,BLR,A321,20000,15659,15429,230,853386,89
2025-02-26,AI290,DEL,HYD,B787,35000,27301,26674,627,1548101,80
2025-10-14,AI291,CCU,BLR,B787,35000,28507,27068,1439,1531206,45
2025-12-26,AI292,BOM,BLR,A320,18000,13183,12505,678,807442,35
2025-02-28,AI293,BOM,BLR,A320,18000,14481,13630,851,650781,47
2025-11-12,AI294,CCU,BLR,A321,20000,13906,13040,866,691621,19
2025-11-10,AI295,BOM,BLR,A320,18000,13706,13480,226,616599,38
2025-10-18,AI296,CCU,DEL,A320,18000,14231,13684,547,752869,22
2025-09-27,AI297,DEL,BOM,A320,18000,16144,15392,752,976355,34
2025-09-16,AI298,CCU,DEL,A320,18000,14386,14123,263,821231,8
2025-11-12,AI299,CCU,DEL,A321,20000,17698,16396,1302,1046585,15
2025-08-16,AI200,CCU,BLR,A321,20000,14659,13512,1147,673346,74
2025-03-21,AI201,CCU,DEL,B787,35000,25586,24376,1210,1369083,69
2025-07-27,AI202,DEL,HYD,A320,18000,15695,14478,1217,818392,57
2025-03-13,AI203,DEL,BOM,A320,18000,14200,13436,764,721001,67
2025-01-17,AI204,DEL,BOM,B787,35000,33810,33187,623,2131590,70
2025-08-20,AI205,DEL,HYD,B787,35000,28771,27909,862,1442716,64
2025-06-21,AI206,CCU,DEL,A320,18000,11916,11512,404,635314,72
2025-09-24,AI207,DEL,BOM,A321,20000,19383,18509,874,909870,73
2025-05-25,AI208,CCU,DEL,A321,20000,16886,16266,620,971615,75
2025-05-12,AI209,BOM,BLR,A320,18000,14260,13515,745,647901,8
2025-01-16,AI210,DEL,BOM,A321,20000,13876,12965,911,599366,19
2025-07-04,AI211,CCU,BLR,A321,20000,14718,14478,240,856296,7
2025-05-27,AI212,CCU,DEL,A321,20000,14766,13944,822,767054,14
2025-08-13,AI213,DEL,HYD,A321,20000,17440,16189,1251,941366,58
2025-07-12,AI214,BOM,BLR,A320,18000,12725,11731,994,553561,41
2025-07-11,AI215,CCU,DEL,A321,20000,19431,18363,1068,935008,71
2025-05-09,AI216,CCU,DEL,A321,20000,14276,14015,261,802157,40
2025-09-26,AI217,DEL,HYD,A320,18000,15723,15310,413,915403,71
2025-01-21,AI218,CCU,BLR,A320,18000,14589,13427,1162,844320,26
2025-04-25,AI219,DEL,BOM,A321,20000,15851,15441,410,808259,80
2025-06-27,AI220,BOM,BLR,B787,35000,23898,22809,1089,1445381,77
2025-03-10,AI221,CCU,BLR,A320,18000,14349,13954,395,797470,35
2025-07-22,AI222,CCU,BLR,A320,18000,14524,14289,235,823300,33
2025-09-03,AI223,CCU,DEL,A320,18000,16859,15657,1202,959747,59
2025-08-06,AI224,CCU,DEL,B787,35000,28375,26287,2088,1283550,11
2025-06-22,AI225,DEL,BOM,A321,20000,16824,16383,441,858199,43
2025-03-25,AI226,CCU,DEL,A320,18000,11818,11338,480,566701,0
2025-06-23,AI227,DEL,BOM,A321,20000,18922,18508,414,958074,66
2025-08-20,AI228,DEL,HYD,A320,18000,11760,11288,472,705019,14
2025-01-12,AI229,BOM,BLR,A321,20000,19459,18130,1329,1088295,73
2025-07-21,AI230,CCU,DEL,A321,20000,18226,17688,538,1067184,78
2025-12-15,AI231,BOM,BLR,A320,18000,14355,13488,867,844393,10
2025-03-09,AI232,BOM,BLR,A320,18000,15693,15239,454,791676,31
2025-12-03,AI233,BOM,BLR,A321,20000,14734,14502,232,769185,65
2025-04-16,AI234,CCU,DEL,A321,20000,19468,18659,809,1022974,13
2025-11-20,AI235,CCU,BLR,A321,20000,16172,15202,970,928964,10
2025-09-18,AI236,DEL,HYD,A321,20000,13048,12803,245,684839,5
2025-06-13,AI237,DEL,BOM,A321,20000,14802,14036,766,790486,83
2025-05-03,AI238,BOM,BLR,A320,18000,11881,11350,531,630397,9
2025-07-13,AI239,CCU,BLR,A320,18000,13695,13528,167,868852,3
2025-03-22,AI240,DEL,BOM,A320,18000,17383,16492,891,811375,57
2025-04-15,AI241,DEL,BOM,A320,18000,17097,15975,1122,1015390,23
2025-06-23,AI242,CCU,DEL,A321,20000,17938,16510,1428,1014788,11
2025-07-11,AI243,CCU,BLR,A320,18000,12454,11758,696,532724,0
2025-03-24,AI244,DEL,HYD,A321,20000,14555,14344,211,653695,23
2025-08-07,AI245,CCU,DEL,B787,35000,27971,26251,1720,1579318,18
